run_accession	scientific_name	sample_lat	sample_lon	biome	mapping	Assembling
SRR2329666	pig_gut	39.9	116.3	Animals	Yes	Yes
SRR5241538	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR5241531	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR5241534	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR2329877	pig_gut	39.9	116.3	Animals	Yes	Yes
SRR5241533	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR9141382	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR9141374	pond	39.46	-77.09	Freshwater	Yes	Yes
DRR151114	pond	35.027207	135.689976	Freshwater	Yes	Yes
SRR9141351	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR5432762	pond	46.238518	6.293545	Freshwater	Yes	Yes
SRR9141334	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR8496328	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR8496324	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR8496337	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR9141379	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR9141371	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR8496321	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR9141346	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR8496325	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR9141330	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR9141364	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR10519209	pond	19.7341	-156.0529	Freshwater	Yes	Yes
SRR8496329	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR9141363	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR8496320	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR5432931	pond	46.238518	6.293545	Freshwater	Yes	Yes
SRR8496345	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR10519210	pond	19.7341	-156.0529	Freshwater	Yes	Yes
SRR9141358	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR8496331	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR9141368	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR9141349	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR9141370	pond	39.46	-77.09	Freshwater	Yes	Yes
SRR8496343	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR8496342	pond	55.13	-77.42	Freshwater	Yes	Yes
SRR4254096	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4253618	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254088	rat_gut	32.03	118.46	Animals	Yes	Yes
SRR4254079	rat_gut	32.03	118.46	Animals	Yes	Yes
