ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
50m_S10_L004_23281	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Tijeunavirus	Tijeunavirus TJE1
10S1_S5_L002_2075	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Donellivirus	Donellivirus gee
10S1_S5_L002_2313	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Mannheimia phage vB_MhS_587AP2
4_S2_L001_5514	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR151115_68627	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_26668_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125123_666065_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
DRR125123_1021749_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
4_S2_L001_13426	Viruses	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Spinach cryptic virus 1
DRR125127_10762	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Rhizobium phage 16-3
DRR151114_35034	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Verrucomicrobia phage P8625
DRR151114_66050	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Borockvirus	Borockvirus brock
DRR151114_89644	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID12_4M_25	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
K7GSL311018_759	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Emdodecavirus	NA
50m_S10_L004_36485	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Caulobacter phage Cr30
50m_S10_L004_41043	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Myxoctovirus	Myxoctovirus Mx8
ZeeviD_2015__PNP_Main_586.part-1_5470	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Duneviridae	NA	NA
DRR147671_52839	Viruses	NA	NA	NA	NA	NA	NA	NA
DRR147674_49139	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Cyanophage KBS-S-2A
80m_S1_L002_1365	Viruses	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	Alphaendornavirus	Rhizoctonia solani alphaendornavirus 2
DRR099835_56015	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR099835_45690	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Perisivirus	NA
DRR147675_39310	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147675_5314	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	NA	NA	uncultured Caudovirales phage
DRR147678_30948	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125124_298992	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
DRR125126_51256	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Elemovirus	NA
DRR099836_23789	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Delepquintavirus	Delepquintavirus DLP5
DRR147678_150499	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Kairosalinivirus	Kairosalinivirus SRUTV1
DRR147678_107231	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	NA
DRR147678_136965	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Puniceispirillum phage HMO-2011
DRR147680_15220	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
10S1_S5_L002_6851	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
10S1_S5_L002_7087	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	NA	NA
CosteaPI_2017__daisy-11-386-0.part-1_578	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Cequinquevirus	NA
DRR125123_359989	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147671_420	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147673_5591	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147671_4045	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Bellamyvirus	Bellamyvirus bellamy
DRR147671_1587	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147672_9063	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_12M_5189	Viruses	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Felid alphaherpesvirus 1
AsnicarF_2017__MV_FEM4_t2Q15_2608	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Clostridium phage phiCT9441A
DRR147672_45450	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_28800	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_59330	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Inhavirus	NA
65m_S11_L005_18647	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	Phitrevirus	Phitrevirus phi3
10S1_S5_L002_6022	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125123_691413	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Slashvirus	Slashvirus slash
DRR147671_78257	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	Qadamvirus	Qadamvirus SB28
DRR147671_64876	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147673_31292	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Salacisavirus	Salacisavirus pssm2
DRR147676_75205	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Cyanophage MED4-117
65m_S11_L005_30031	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR099836_42103	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Elemovirus	NA
50m_S10_L004_32513	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_32758	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_35474	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Vhulanivirus	Vhulanivirus Shpa
DRR147676_65268	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
DRR125121_17821	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	NA	NA
DRR147672_10097	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Naesvirus	NA
4_S2_L001_1217	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
4_S2_L001_1626	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Caulobacter phage Cr30
4_S2_L001_6099	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Nerrivikvirus	Nerrivikvirus srim2
DRR151114_61844	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_13497	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID130_M_59_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Winoviridae	Peternellavirus	Peternellavirus peternella
10S1_S5_L002_1958	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
17_S4_L002_12290	Viruses	NA	NA	NA	NA	Pithoviridae	NA	NA
50m_S10_L004_9527	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
70m_S12_L006_1898	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Rhodoferax phage P26218
DRR147676_52016	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	crAssphage cr108_1
DRR147676_32007	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_78016	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125122_329635	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
DRR125123_1171054	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Pelagibacter phage HTVC008M
DRR125127_51791	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147673_14280	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147671_19722	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Vhulanivirus	Vhulanivirus Shpa
DRR147672_50768	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Bjornvirus	Bjornvirus bjorn
13_S7_L003_15860	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
13_S7_L003_11015	Viruses	NA	NA	NA	NA	NA	NA	NA
DRR147676_25289	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Verrucomicrobia phage P8625
DRR147676_17702	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Alachuavirus	Alachuavirus Xp15
50m_S10_L004_10703	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_22549	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Eurybiavirus	Prochlorococcus phage P-HM2
80m_S1_L002_1712	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
80m_S1_L002_2072	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Myxoctovirus	Myxoctovirus Mx8
17_S4_L002_428	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Polybotosvirus	Polybotosvirus Atuph07
50m_S10_L004_21422	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_21701	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Bellamyvirus	Bellamyvirus bellamy
