			
			
Samples (NCBI, JGI, MetaSub project)	Lat	Lon	Countries
SRR6399460	37.40988969	-122.1593497	United States of America
SRR6399461	37.40988969	-122.1593497	United States of America
SRR6399462	38.99791635	-77.09885595	United States of America
SRR6399463	37.40988969	-122.1593497	United States of America
SRR6399464	32.887094	-117.24494	United States of America
SRR6399465	37.4594516	-122.1636314	United States of America
SRR6399466	49.28833882	-123.1124077	Canada:NA\,Vancouver
SRR6399467	37.40988969	-122.1593497	United States of America
SRR6399468	37.40988969	-122.1593497	United States of America
SRR6399469	39.4757191	-119.7786747	United States of America
SRR6399470	37.40988969	-122.1593497	United States of America
SRR6399471	46.2182106	-119.2172538	United States of America
SRR6399472	36.6111478	-121.8589246	United States of America
SRR6399473	38.0498426	-84.50129234	United States of America
SRR6399474	37.4594516	-122.1636314	United States of America
SRR6399475	40.743884	-73.983974	United States of America
SRR6399476	37.4594516	-122.1636314	United States of America
SRR6399477	42.37213961	-71.12296395	United States of America
SRR6399478	37.40988969	-122.1593497	United States of America
SRR6399479	32.71074457	-117.169711	United States of America
SRR6399480	45.89283637	6.16846156	France
SRR6399481	37.40988969	-122.1593497	United States of America
SRR6399482	37.40988969	-122.1593497	United States of America
SRR6399483	38.99791635	-77.09885595	United States of America
SRR6399484	35.77493599	-78.63978259	United States of America
SRR6399485	37.40988969	-122.1593497	United States of America
SRR6399486	51.1439564	3.2453634	Belgium
SRR6399487	37.40988969	-122.1593497	United States of America
SRR6399488	32.2156971	-111.048771	United States of America
SRR6399489	38.99791635	-77.09885595	United States of America
SRR6399490	3.15327579	101.7150945	Malaysia
SRR6399491	37.4594516	-122.1636314	United States of America
SRR6399492	37.40988969	-122.1593497	United States of America
SRR6399493	59.85625072	17.6406181	Sweden
