ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
LeChatelierE_2013__MH0412.part-1_145_fragment_1_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	Steigviridae	Lahndsivirus	Lahndsivirus rarus
BackhedF_2015__SID10_12M_370	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	Phitrevirus	Phitrevirus phi3
BackhedF_2015__SID133_M_3688	Viruses	NA	NA	NA	NA	NA	NA	NA
ZeeviD_2015__PNP_Main_104.part-1_530_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Arawnvirus	Arawnvirus arawn
BackhedF_2015__SID103_12M_2197	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Staphylococcus phage StB20-like
AsnicarF_2017__MV_FEM1_t1Q14_110	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Riemerella phage RAP44
BackhedF_2015__SID137_12M_2206	Viruses	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	NA
CM_madagascar__A09_02_1FE.part-1_362	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID275_12M_337	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LiuW_2016__SRR3992991.part-1_187	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID130_M_1898	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID133_M_2982	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Kostyavirus	NA
NielsenHB_2014__V1_CD6_4.part-1_4439	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
FengQ_2015__SID31880.part-2_2436	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Grimontviridae	Privateervirus	NA
LiuW_2016__SRR3992991.part-1_511	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Rauchvirus	Rauchvirus BPP1
AsnicarF_2017__MV_FEM4_t2Q15_341	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Brigitvirus	Brigitvirus brigit
LoombaR_2017__SID0012_qdz.part-2_6270	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID105_M_1499	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_12M_2951	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEI5_t3Q15_1128	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_12M_2012	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LoombaR_2017__SID0012_qdz.part-1_2952	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Enterococcus phage vB_EfaS_IME197
BackhedF_2015__SID103_M_334	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Donellivirus	Donellivirus gee
BackhedF_2015__SID133_M_7372	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	Phitrevirus	Phitrevirus phi3
CM_madagascar__A83_02_1FE.part-1_8631	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	Kayvirus	NA
LeChatelierE_2013__MH0412.part-1_835	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEM4_t2Q15_1852	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Coventryvirus	Coventryvirus SP441
LoombaR_2017__SID0012_qdz.part-2_1663	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Firehammervirus	NA
VincentC_2016__MM032.3.part-1_1552	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEM5_t3Q15_2947	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Questintvirus	Questintvirus Q54
QinN_2014__LD-63_1811	Viruses	Sangervirae	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	NA
BackhedF_2015__SID133_M_4831	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Straboviridae	Biquartavirus	Biquartavirus 44RR2
BackhedF_2015__SID128_4M_1693	Viruses	NA	NA	NA	NA	NA	NA	NA
BackhedF_2015__SID10_M_665	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEM4_t1Q14_1362	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
CM_madagascar__A85_01_1FE.part-1_2342	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID10_12M_3270	Viruses	NA	NA	NA	NA	NA	NA	NA
BackhedF_2015__SID128_4M_1007	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
AsnicarF_2017__MV_FEI5_t3Q15_3472	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	NA
AsnicarF_2017__MV_FEM2_t1Q14_108	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID103_12M_539	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID105_M_2535	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Spbetavirus	Spbetavirus SPbeta
ZellerG_2014__CCMD13934959ST-21-0.part-1_295	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Helgolandviridae	Leefvirus	Leefvirus Leef
AsnicarF_2017__MV_FEM5_t2Q14_13	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Donellivirus	Donellivirus gee
BackhedF_2015__SID103_B_916	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Staphylococcus phage SPbeta-like
